v1,v2,edge_name,edge_color
SAN BERNARDO,ARGÜELLES,4,#B65518
SAN BERNARDO,BILBAO,4,#B65518
SAN BERNARDO,NOVICIADO,2,#ED1C24
SAN BERNARDO,QUEVEDO,2,#ED1C24
PACIFICO,MENENDEZ PELAYO,1,#2DBEF0
PACIFICO,PUENTE DE VALLECAS,1,#2DBEF0
PACIFICO,MENDEZ ALVARO,6,#98989B
PACIFICO,CONDE DE CASAL,6,#98989B
JARAMA,HENARES,7,#EE7518
JARAMA,SAN FERNANDO,7,#EE7518
PRADILLO,HOSPITAL DE MOSTOLES,12,#A49800
PRADILLO,MOSTOLES CENTRAL,12,#A49800
HERRERA ORIA,MIRASIERRA,9,#A60084
HERRERA ORIA,BARRIO DEL PILAR,9,#A60084
PUERTA DE TOLEDO,LA LATINA,5,#8FD400
PUERTA DE TOLEDO,ACACIAS,5,#8FD400
SIERRA DE GUADALUPE,MIGUEL HERNANDEZ,1,#2DBEF0
SIERRA DE GUADALUPE,VILLA DE VALLECAS,1,#2DBEF0
REPUBLICA ARGENTINA,AVENIDA DE AMERICA,6,#98989B
REPUBLICA ARGENTINA,NUEVOS MINISTERIOS,6,#98989B
LORANCA,HOSPITAL DE FUENLABRADA,12,#A49800
LORANCA,MANUELA MALASAÑA,12,#A49800
PAN BENDITO,ABRANTES,11,#009B3A
PAN BENDITO,SAN FRANCISCO,11,#009B3A
MONCLOA,ARGÜELLES,3,#FFD000
MONCLOA,CIUDAD UNIVERSITARIA,6,#98989B
MONCLOA,ARGÜELLES,6,#98989B
CUATRO CAMINOS,ALVARADO,1,#2DBEF0
CUATRO CAMINOS,RIOS ROSAS,1,#2DBEF0
CUATRO CAMINOS,CANAL,2,#ED1C24
CUATRO CAMINOS,NUEVOS MINISTERIOS,6,#98989B
CUATRO CAMINOS,GUZMAN EL BUENO,6,#98989B
CAMPAMENTO,EMPALME,5,#8FD400
CAMPAMENTO,CASA DE CAMPO,5,#8FD400
SOL,LAVAPIES,3,#FFD000
SOL,CALLAO,3,#FFD000
SOL,GRAN VIA,1,#2DBEF0
SOL,TIRSO DE MOLINA,1,#2DBEF0
SOL,SEVILLA,2,#ED1C24
SOL,OPERA,2,#ED1C24
GOYA,VELAZQUEZ,4,#B65518
GOYA,LISTA,4,#B65518
GOYA,MANUEL BECERRA,2,#ED1C24
GOYA,PRINCIPE DE VERGARA,2,#ED1C24
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,12,#A49800
HOSPITAL SEVERO OCHOA,CASA DEL RELOJ,12,#A49800
GRAN VIA,TRIBUNAL,1,#2DBEF0
GRAN VIA,SOL,1,#2DBEF0
GRAN VIA,CHUECA,5,#8FD400
GRAN VIA,CALLAO,5,#8FD400
COSLADA CENTRAL,LA RAMBLA,7,#EE7518
COSLADA CENTRAL,BARRIO DEL PUERTO,7,#EE7518
VILLA DE VALLECAS,SIERRA DE GUADALUPE,1,#2DBEF0
VILLA DE VALLECAS,CONGOSTO,1,#2DBEF0
PARQUE DE LAS AVENIDAS,BARRIO DE LA CONCEPCION,7,#EE7518
PARQUE DE LAS AVENIDAS,CARTAGENA,7,#EE7518
JOAQUIN VILUMBRALES,CUATRO VIENTOS,10,#005AA9
JOAQUIN VILUMBRALES,PUERTA DEL SUR,10,#005AA9
EL CARMEN,QUINTANA,5,#8FD400
EL CARMEN,VENTAS,5,#8FD400
USERA,PLAZA ELIPTICA,6,#98989B
USERA,LEGAZPI,6,#98989B
PINAR DEL REY,COLOMBIA,8,#EC82B1
PINAR DEL REY,MAR DE CRISTAL,8,#EC82B1
HOSPITAL DEL HENARES,HENARES,7,#EE7518
ALONSO DE MENDOZA,GETAFE CENTRAL,12,#A49800
ALONSO DE MENDOZA,CONSERVATORIO,12,#A49800
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,7,#EE7518
FRANCOS RODRIGUEZ,VALDEZARZA,7,#EE7518
MARQUES DE VADILLO,PIRAMIDES,5,#8FD400
MARQUES DE VADILLO,URGEL,5,#8FD400
EL CASAR,LOS ESPARTALES,12,#A49800
EL CASAR,JUAN DE LA CIERVA,12,#A49800
RETIRO,PRINCIPE DE VERGARA,2,#ED1C24
RETIRO,BANCO DE ESPAÑA,2,#ED1C24
AVDA. DE LA ILUSTRACION,PEÑAGRANDE,7,#EE7518
AVDA. DE LA ILUSTRACION,LACOMA,7,#EE7518
LAS SUERTES,LA GAVIA,1,#2DBEF0
