v1,v2,edge_name,edge_color,travel_seconds
UNIVERSIDAD REY JUAN CARLOS,MOSTOLES CENTRAL,12,#A49800,350
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,12,#A49800,350
JUAN DE LA CIERVA,GETAFE CENTRAL,12,#A49800,351
GETAFE CENTRAL,JUAN DE LA CIERVA,12,#A49800,351
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,12,#A49800,354
PARQUE DE LOS ESTADOS,FUENLABRADA CENTRAL,12,#A49800,354
ALONSO DE MENDOZA,GETAFE CENTRAL,12,#A49800,356
LA ELIPA,VENTAS,2,#ED1C24,356
VENTAS,LA ELIPA,2,#ED1C24,356
GETAFE CENTRAL,ALONSO DE MENDOZA,12,#A49800,356
ESPERANZA,CANILLAS,4,#B65518,359
CANILLAS,ESPERANZA,4,#B65518,359
CASA DEL RELOJ,JULIAN BESTEIRO,12,#A49800,360
JULIAN BESTEIRO,CASA DEL RELOJ,12,#A49800,360
CARPETANA,LAGUNA,6,#98989B,362
VICALVARO,VALDEBERNARDO,9,#A60084,365
VALDEBERNARDO,VICALVARO,9,#A60084,365
VALDEBERNARDO,PAVONES,9,#A60084,368
PAVONES,VALDEBERNARDO,9,#A60084,368
BATAN,LAGO,10,#005AA9,369
LAGO,BATAN,10,#005AA9,369
AVIACION ESPAÑOLA,COLONIA JARDIN,10,#005AA9,370
COLONIA JARDIN,AVIACION ESPAÑOLA,10,#005AA9,370
EL BERCIAL,EL CARRASCAL,12,#A49800,371
EL CARRASCAL,EL BERCIAL,12,#A49800,371
COSLADA CENTRAL,BARRIO DEL PUERTO,7,#EE7518,375
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,12,#A49800,375
MANUELA MALASAÑA,HOSPITAL DE MOSTOLES,12,#A49800,375
BARRIO DEL PUERTO,COSLADA CENTRAL,7,#EE7518,375
MIRASIERRA,PACO DE LUCIA,9,#A60084,376
PACO DE LUCIA,MIRASIERRA,9,#A60084,376
JUAN DE LA CIERVA,EL CASAR,12,#A49800,377
CANILLEJAS,EL CAPRICHO,5,#8FD400,377
EL CAPRICHO,CANILLEJAS,5,#8FD400,377
LAGUNA,CARPETANA,6,#98989B,377
EL CASAR,JUAN DE LA CIERVA,12,#A49800,377
PARQUE OESTE,ALCORCON CENTRAL,12,#A49800,382
ALCORCON CENTRAL,PARQUE OESTE,12,#A49800,382
BAMBU,CHAMARTIN,1,#2DBEF0,382
CHAMARTIN,BAMBU,1,#2DBEF0,382
MONTECARMELO,LAS TABLAS,10,#005AA9,387
LAS TABLAS,MONTECARMELO,10,#005AA9,387
BAMBU,PINAR DE CHAMARTIN,1,#2DBEF0,388
HENARES,HOSPITAL DEL HENARES,7,#EE7518,388
PINAR DE CHAMARTIN,BAMBU,1,#2DBEF0,388
HOSPITAL DEL HENARES,HENARES,7,#EE7518,388
SAN CRISTOBAL,VILLAVERDE ALTO,3,#FFD000,398
VILLAVERDE ALTO,SAN CRISTOBAL,3,#FFD000,398
SIERRA DE GUADALUPE,MIGUEL HERNANDEZ,1,#2DBEF0,402
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,1,#2DBEF0,402
JARAMA,HENARES,7,#EE7518,407
HENARES,JARAMA,7,#EE7518,407
RIVAS FUTURA,RIVAS VACIAMADRID,9,#A60084,408
RIVAS VACIAMADRID,RIVAS FUTURA,9,#A60084,408
COSLADA CENTRAL,LA RAMBLA,7,#EE7518,415
LA RAMBLA,COSLADA CENTRAL,7,#EE7518,415
HOSPITAL DE FUENLABRADA,LORANCA,12,#A49800,440
LORANCA,HOSPITAL DE FUENLABRADA,12,#A49800,440
JARAMA,SAN FERNANDO,7,#EE7518,442
SAN FERNANDO,JARAMA,7,#EE7518,442
LA RAMBLA,SAN FERNANDO,7,#EE7518,454
SAN FERNANDO,LA RAMBLA,7,#EE7518,454
LA PESETA,LA FORTUNA,11,#009B3A,455
LA FORTUNA,LA PESETA,11,#009B3A,455
OPAÑEL,OPORTO,6,#98989B,463
OPORTO,CARPETANA,6,#98989B,463
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS,12,#A49800,469
UNIVERSIDAD REY JUAN CARLOS,PARQUE OESTE,12,#A49800,469
CARPETANA,OPORTO,6,#98989B,478
OPORTO,OPAÑEL,6,#98989B,478
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,12,#A49800,480
PARQUE DE LOS ESTADOS,ARROYO CULEBRO,12,#A49800,480
MANUELA MALASAÑA,LORANCA,12,#A49800,494
LORANCA,MANUELA MALASAÑA,12,#A49800,494
RIVAS FUTURA,RIVAS URBANIZACIONES,9,#A60084,522
RIVAS URBANIZACIONES,RIVAS FUTURA,9,#A60084,522
LA POVEDA,ARGANDA DEL REY,9,#A60084,533
ARGANDA DEL REY,LA POVEDA,9,#A60084,533
CUATRO VIENTOS,JOAQUIN VILUMBRALES,10,#005AA9,535
JOAQUIN VILUMBRALES,CUATRO VIENTOS,10,#005AA9,535
LA POVEDA,RIVAS VACIAMADRID,9,#A60084,573
RIVAS VACIAMADRID,LA POVEDA,9,#A60084,573
ESTADIO OLIMPICO,BARRIO DEL PUERTO,7,#EE7518,608
BARRIO DEL PUERTO,ESTADIO OLIMPICO,7,#EE7518,608
PUERTA DE ARGANDA,RIVAS URBANIZACIONES,9,#A60084,656
RIVAS URBANIZACIONES,PUERTA DE ARGANDA,9,#A60084,656
NUEVOS MINISTERIOS,COLOMBIA,8,#EC82B1,323
COLOMBIA,NUEVOS MINISTERIOS,8,#EC82B1,323
AEROPUERTO T4,BARAJAS,8,#EC82B1,338
BARAJAS,AEROPUERTO T1 T2 T3,8,#EC82B1,288
BARAJAS,AEROPUERTO T4,8,#EC82B1,338
COLOMBIA,PINAR DEL REY,8,#EC82B1,402
PEÑAGRANDE,AVDA. DE LA ILUSTRACION,7,#EE7518,233
LACOMA,AVDA. DE LA ILUSTRACION,7,#EE7518,249
MAR DE CRISTAL,PINAR DEL REY,8,#EC82B1,246
MAR DE CRISTAL,CAMPO DE LAS NACIONES,8,#EC82B1,348
PINAR DEL REY,COLOMBIA,8,#EC82B1,402
PINAR DEL REY,MAR DE CRISTAL,8,#EC82B1,246
AVDA. DE LA ILUSTRACION,PEÑAGRANDE,7,#EE7518,233
AVDA. DE LA ILUSTRACION,LACOMA,7,#EE7518,249
CAMPO DE LAS NACIONES,MAR DE CRISTAL,8,#EC82B1,348
CAMPO DE LAS NACIONES,AEROPUERTO T1 T2 T3,8,#EC82B1,492
AEROPUERTO T1 T2 T3,CAMPO DE LAS NACIONES,8,#EC82B1,492
AEROPUERTO T1 T2 T3,BARAJAS,8,#EC82B1,288
